Question,Answer,Notes
At least one driver will win 4 consecutive races?,No,
The start of at least one race will be delayed by a minimum of 30 minutes due to rain?,Yes,Belgium
Doohan gets booted after 6 or less races?,Yes,
Andrea Kimi Antonelli will beat George Russell at least seven times in main qualifying?,No,"Miami GP,"
Fernando Alonso will score at least one podium finish in 2025?,No,
The WDC will drive for the WCC winning team?,Yes,
At least one of the championship titles will not be decided until the final race of the 2025 season?,Yes,
A minimum of twenty-three different drivers will compete in F1 GP races in 2025?,No,
"On at least one occasion, teammates will take each other out, resulting in double DNF for that team?",No,
Lewis Hamilton will win Pole Position at least twice for F1 GP races in 2025?,No,
Lance Stroll to DNF / DNS / DSQ at least 3 times in the season?,No,Vegas
"More than one rookie to get replaced? Applies to Doohan,  Bearman, Bortoleto, Antonelli, Hadjar, Lawson.",Yes,
"Norris, starting on pole, to lose P1 on Lap 1 more than once?",No,Vegas
George Russell to finish GP outside top 5 ( including DNF / DNS / DSQ ) at least 5 times?,Yes,"Imola, Monaco, Silverstone, Texas, Mexico"
WDC - 1st?,NOR,
WDC - 2nd?,VER,
WDC - 3rd?,PIA,
WCC - 1st?,MCL,
WCC - 2nd?,MER,
WCC - 3rd?,RBPT,
